# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
Aug-06,13006.93,13006.93,13007.37,12760.61
Sep-06,-11216.95,-11216.95,-11216.94,-11052.15
Oct-06,14467.30,14467.3,14467.45,14083.17
Nov-06,1753.10,1753.1,1753.68,1480.67
Dec-06,-14694.61,-14694.61,-14694.93,-15212.05
Jan-07,-11920.20,-11920.2,-11920.16,-12375.71
Feb-07,14568.45,14568.45,14568.66,14538.57
Mar-07,-11695.29,-11695.29,-11695.03,-10824.47
Apr-07,-19942.11,-19942.11,-19942.07,-18378.83
May-07,6340.60,6340.6,-30489.74,-32028.75
Jun-07,-35440.96,-35440.96,-35440.74,-35477.67
Jul-07,268.81,268.81,268.59,224.74
Aug-07,21670.68,21670.68,21671.27,21701.2
Sep-07,4317.98,4317.98,4317.73,4332.68
Oct-07,-10465.43,-10465.43,-10465.49,-10447.86
Nov-07,15206.68,15206.68,15206.56,15225.14
Dec-07,6325.63,6325.63,6326.08,6429.88
Jan-08,14784.45,14784.45,14784.35,14874.02
Feb-08,30615.88,30615.88,30615.7,30658.87
Mar-08,1166.04,1166.04,1165.83,1120.51
Apr-08,-12399.37,-12399.37,-12399.37,-12508.53
May-08,4236.07,4236.07,4236.3,4753.71
Jun-08,7374.68,7374.68,7373.98,7890.97
Jul-08,6024.85,6024.85,6025.83,5958.28
Aug-08,24802.28,24802.28,24801.65,24204.42
Sep-08,19162.10,19162.1,19162.61,18674.44
Oct-08,-8837.22,-8837.22,-8837.22,-9669.26
Nov-08,16080.87,16080.87,16080.75,16124.87
Dec-08,11305.26,11305.26,11304.78,10734.55
Jan-09,-1876.15,-1876.15,-1875.98,-1852.79
